Facility ID,Location ID,Facility Type (Display Name),Permit,FacilityType,Facility Rating,Asset Name
2676,150,Drinking Fountain,,Drinking Fountain,,RANDY PADMORE PARK - Drinking Fountain
34332,150,Playground,,Playground Site,,RANDY PADMORE PARK - Playground
5213,150,Wading Pool,,Wading Pool,,RANDY PADMORE PARK - Wading Pool
2218,151,Drinking Fountain,,Drinking Fountain,,JEAN SIBELIUS SQUARE - Drinking Fountain
37105,151,Washroom Facility,,Washroom Building,,JEAN SIBELIUS SQUARE - Fieldhouse
37105,151,Fieldhouse,,Fieldhouse,,JEAN SIBELIUS SQUARE - Fieldhouse
49595,151,Picnic Site,picnic,Picnic Site,,JEAN SIBELIUS SQUARE - Picnic Site
34527,151,Playground,,Playground Site,,JEAN SIBELIUS SQUARE - Playground
18667,154,Drinking Fountain,,Drinking Fountain,,CASA LOMA PARKETTE - Drinking Fountain
3069,155,Ball Hockey Pad,,Ball Hockey Pad,,JIMMIE SIMPSON PARK - Ball Hockey
17814,155,Ball Diamond,sport,Baseball Diamond Field - C,C,JIMMIE SIMPSON PARK - Baseball Diamond Field
3070,155,Outdoor Basketball Court,,Basketball Court,,JIMMIE SIMPSON PARK - Basketball Court
2216,155,Drinking Fountain,,Drinking Fountain,,JIMMIE SIMPSON PARK - Drinking Fountain
14287,155,Outdoor Dry Pad,ice,Outdoor Dry Pad - A,A,JIMMIE SIMPSON PARK - Outdoor Artificial Ice Rink
43591,155,Outdoor Rink,ice,Outdoor Ice Pad,,JIMMIE SIMPSON PARK - Outdoor Ice Pad
3072,155,Outdoor Tennis Court,,Outdoor Tennis Court,,JIMMIE SIMPSON PARK - Outdoor Tennis Court (  1)
3073,155,Outdoor Tennis Court,,Outdoor Tennis Court,,JIMMIE SIMPSON PARK - Outdoor Tennis Court (  2)
32368,155,Parking Lot,,Outdoor Parking Lot,,JIMMIE SIMPSON PARK - Parking Lot
28312,155,Picnic Site,picnic,Picnic Site,,JIMMIE SIMPSON PARK - Picnic Site
34535,155,Playground,,Playground Site,,JIMMIE SIMPSON PARK - Playground
17815,155,Sport Field,sport,Soccer Field - C,C,JIMMIE SIMPSON PARK - Soccer Field
4237,155,Wading Pool,,Wading Pool,,JIMMIE SIMPSON PARK - Wading Pool
49827,156,Outdoor Table Tennis,,Outdoor Table Tennis,,SNIDER PARKETTE - Outdoor Table Tennis 
33847,156,Playground,,Playground Site,,SNIDER PARKETTE - Playground
2438,157,Drinking Fountain,,Drinking Fountain,,CASSELS AVENUE PLAYGROUND - Drinking Fountain
29321,157,Fieldhouse,,Fieldhouse,,CASSELS AVENUE PLAYGROUND - Fieldhouse
2832,157,Dogs Off-Leash Area,,Off Leash Area,,CASSELS AVENUE PLAYGROUND - Off Leash Area
34184,157,Playground,,Playground Site,,CASSELS AVENUE PLAYGROUND - Playground
4749,157,Splash Pad,,Splash/Spray Pad,,CASSELS AVENUE PLAYGROUND - Splash/Spray Pad
2615,158,Drinking Fountain,,Drinking Fountain,,SONYA'S PARKETTE - Drinking Fountain
33849,158,Playground,,Playground Site,,SONYA'S PARKETTE - Playground
2435,161,Drinking Fountain,,Drinking Fountain,,CAWTHRA PLAYGROUND - Drinking Fountain
29322,161,Fieldhouse,,Fieldhouse,,CAWTHRA PLAYGROUND - Fieldhouse
34385,161,Playground,,Playground Site,,CAWTHRA PLAYGROUND - Playground
2433,163,Drinking Fountain,,Drinking Fountain,,BARBARA HALL PARK - Drinking Fountain
2829,163,Dogs Off-Leash Area,,Off Leash Area,,BARBARA HALL PARK - Off Leash Area
4738,163,Playground,,Playground Site,,BARBARA HALL PARK - Playground
43265,163,Splash Pad,,Splash/Spray Pad,,BARBARA HALL PARK - Splash/Spray Pad
17902,167,Ball Diamond,sport,Baseball Diamond Field - C,C,RAMSDEN PARK - Baseball Diamond Field
2677,167,Drinking Fountain,,Drinking Fountain,,RAMSDEN PARK - Drinking Fountain (  1)
2678,167,Drinking Fountain,,Drinking Fountain,,RAMSDEN PARK - Drinking Fountain (  2)
2679,167,Drinking Fountain,,Drinking Fountain,,RAMSDEN PARK - Drinking Fountain (  3)
2848,167,Dogs Off-Leash Area,,Off Leash Area,,RAMSDEN PARK - Off Leash Area
14293,167,Outdoor Rink,ice,Outdoor Ice Pad,,RAMSDEN PARK - Outdoor Ice Pad (  1)
43596,167,Outdoor Rink,ice,Outdoor Ice Pad,,RAMSDEN PARK - Outdoor Ice Pad (  2)
3867,167,Outdoor Tennis Court,,Outdoor Tennis Court,,RAMSDEN PARK - Outdoor Tennis Court (  1)
3871,167,Outdoor Tennis Court,,Outdoor Tennis Court,,RAMSDEN PARK - Outdoor Tennis Court (  1)
3872,167,Outdoor Tennis Court,,Outdoor Tennis Court,,RAMSDEN PARK - Outdoor Tennis Court (  1)
3874,167,Outdoor Tennis Court,,Outdoor Tennis Court,,RAMSDEN PARK - Outdoor Tennis Court (  2)
3868,167,Outdoor Tennis Court,,Outdoor Tennis Court,,RAMSDEN PARK - Outdoor Tennis Court (  2)
3875,167,Outdoor Tennis Court,,Outdoor Tennis Court,,RAMSDEN PARK - Outdoor Tennis Court (  2)
3873,167,Outdoor Tennis Court,,Outdoor Tennis Court,,RAMSDEN PARK - Outdoor Tennis Court (  3)
3869,167,Outdoor Tennis Court,,Outdoor Tennis Court,,RAMSDEN PARK - Outdoor Tennis Court (  3)
3876,167,Outdoor Tennis Court,,Outdoor Tennis Court,,RAMSDEN PARK - Outdoor Tennis Court (  3)
3878,167,Outdoor Tennis Court,,Outdoor Tennis Court,,RAMSDEN PARK - Outdoor Tennis Court (  4)
3877,167,Outdoor Tennis Court,,Outdoor Tennis Court,,RAMSDEN PARK - Outdoor Tennis Court (  4)
3870,167,Outdoor Tennis Court,,Outdoor Tennis Court,,RAMSDEN PARK - Outdoor Tennis Court (  4)
32427,167,Parking Lot,,Outdoor Parking Lot,,RAMSDEN PARK - Parking Lot
28336,167,Picnic Site,picnic,Picnic Site,,RAMSDEN PARK - Picnic Site
43022,167,Playground,,Playground Site,,RAMSDEN PARK - Playground N
34330,167,Playground,,Playground Site,,RAMSDEN PARK - Playground S
29606,167,Washroom Facility,,Washroom Building,,RAMSDEN PARK - Washroom Building
28895,167,Washroom Facility,,Washroom Building,,RAMSDEN PARK A.I.R. BUILDING
29954,167,Dressing Room,,Change Room ,,RAMSDEN PARK A.I.R. BUILDING - Dressing Room
30607,167,Dressing Room,,Change Room ,,RAMSDEN PARK A.I.R. BUILDING - Dressing Room - Unisex (  1)
30608,167,Dressing Room,,Change Room ,,RAMSDEN PARK A.I.R. BUILDING - Dressing Room - Unisex (  2)
30609,167,Dressing Room,,Change Room ,,RAMSDEN PARK A.I.R. BUILDING - Dressing Room - Unisex (  3)
23767,167,Bike Trail,,Bike Trail,,RAMSDEN PARK TRAIL (  1)
23768,167,Bike Trail,,Bike Trail,,RAMSDEN PARK TRAIL (  2)
17863,168,Ball Diamond,sport,Baseball Diamond Field - C,C,MOOREVALE PARK - Baseball Diamond Field
29576,168,Changeroom Facility,,Changeroom Building,,MOOREVALE PARK - Change Room Building
2741,168,Drinking Fountain,,Drinking Fountain,,MOOREVALE PARK - Drinking Fountain (  1)
2742,168,Drinking Fountain,,Drinking Fountain,,MOOREVALE PARK - Drinking Fountain (  2)
3995,168,Outdoor Tennis Court,,Outdoor Tennis Court,,MOOREVALE PARK - Outdoor Tennis Court (  1)
3996,168,Outdoor Tennis Court,,Outdoor Tennis Court,,MOOREVALE PARK - Outdoor Tennis Court (  2)
3997,168,Outdoor Tennis Court,,Outdoor Tennis Court,,MOOREVALE PARK - Outdoor Tennis Court (  3)
3998,168,Outdoor Tennis Court,,Outdoor Tennis Court,,MOOREVALE PARK - Outdoor Tennis Court (  4)
3999,168,Outdoor Tennis Court,,Outdoor Tennis Court,,MOOREVALE PARK - Outdoor Tennis Court (  5)
34201,168,Playground,,Playground Site,,MOOREVALE PARK - Playground
5380,168,Wading Pool,,Wading Pool,,MOOREVALE PARK - Wading Pool
28058,168,Bowling Greens,,Bowling Greens,,MOOREVALE PARK LAWN BOWLING CLUB - Bowling Greens
18086,170,Ball Diamond,sport,Baseball Diamond Field - C,C,RAVINA GARDENS - Baseball Diamond Field (  1)
18087,170,Ball Diamond,sport,Baseball Diamond Field - C,C,RAVINA GARDENS - Baseball Diamond Field (  2)
2496,170,Drinking Fountain,,Drinking Fountain,,RAVINA GARDENS - Drinking Fountain (  1)
18704,170,Drinking Fountain,,Drinking Fountain,,RAVINA GARDENS - Drinking Fountain (  2)
29609,170,Fieldhouse,,Fieldhouse,,RAVINA GARDENS - Fieldhouse
49529,170,Parking Lot,,Outdoor Parking Lot,,RAVINA GARDENS - Parking Lot
34334,170,Playground,,Playground Site,,RAVINA GARDENS - Playground
4863,170,Wading Pool,,Wading Pool,,RAVINA GARDENS - Wading Pool
48200,171,Gallery,room,Gallery/Hall  - B,B,EARL BALES COMMUNITY CENTRE - Gallery/Hall
47978,171,Multipurpose Room,room,Room - C,C,EARL BALES COMMUNITY CENTRE - Multipurpose Room (  1)
48204,171,Multipurpose Room,room,Room - C,C,EARL BALES COMMUNITY CENTRE - Multipurpose Room (  2)
2609,172,Drinking Fountain,,Drinking Fountain,,SPENCER - COWAN PARKETTE - Drinking Fountain
33851,172,Playground,,Playground Site,,SPENCER - COWAN PARKETTE - Playground
5079,172,Wading Pool,,Wading Pool,,SPENCER - COWAN PARKETTE - Wading Pool
2738,174,Drinking Fountain,,Drinking Fountain,,MORSE STREET PLAYGROUND - Drinking Fountain
29581,174,Fieldhouse,,Fieldhouse,,MORSE STREET PLAYGROUND - Fieldhouse
29581,174,Washroom Facility,,Washroom Building,,MORSE STREET PLAYGROUND - Fieldhouse
34204,174,Playground,,Playground Site,,MORSE STREET PLAYGROUND - Playground
5360,174,Wading Pool,,Wading Pool,,MORSE STREET PLAYGROUND - Wading Pool
2675,176,Drinking Fountain,,Drinking Fountain,,REDPATH AVENUE PARKETTE - Drinking Fountain
34338,176,Playground,,Playground Site,,REDPATH AVENUE PARKETTE - Playground
17864,177,Ball Diamond,sport,Baseball Diamond Field - B,B,MOSS PARK - Baseball Diamond Field
3978,177,Outdoor Basketball Court,,Basketball Court,,MOSS PARK - Basketball Court (  1)
28366,177,Outdoor Basketball Court,,Basketball Court,,MOSS PARK - Basketball Court (  2)
2735,177,Drinking Fountain,,Drinking Fountain,,MOSS PARK - Drinking Fountain (  1)
2736,177,Drinking Fountain,,Drinking Fountain,,MOSS PARK - Drinking Fountain (  2)
2737,177,Drinking Fountain,,Drinking Fountain,,MOSS PARK - Drinking Fountain (  3)
3981,177,Outdoor Tennis Court,,Outdoor Tennis Court,,MOSS PARK - Outdoor Tennis Court (  1)
3982,177,Outdoor Tennis Court,,Outdoor Tennis Court,,MOSS PARK - Outdoor Tennis Court (  2)
32410,177,Parking Lot,,Outdoor Parking Lot,,MOSS PARK - Parking Lot
34205,177,Playground,,Playground Site,,MOSS PARK - Playground E
42727,177,Playground,,Playground Site,,MOSS PARK - Playground W
43724,177,Sport Field,sport,Soccer Field - C,C,MOSS PARK - Soccer Field
5356,177,Splash Pad,,Splash/Spray Pad,,MOSS PARK - Splash/Spray Pad
43677,177,Sportspad Area,,Sportspad Area,,MOSS PARK - Sportspad Area
2673,181,Drinking Fountain,,Drinking Fountain,,RENNIE PARK - Drinking Fountain (  1)
2674,181,Drinking Fountain,,Drinking Fountain,,RENNIE PARK - Drinking Fountain (  2)
57381,181,Pond,,Open Water,,RENNIE PARK - Open Water ( 1)
57382,181,Pond,,Open Water,,RENNIE PARK - Open Water ( 2)
43614,181,Outdoor Rink,ice,Outdoor Ice Pad,,RENNIE PARK - Outdoor Ice Pad
3850,181,Outdoor Tennis Court,,Outdoor Tennis Court,,RENNIE PARK - Outdoor Tennis Court (  1)
3851,181,Outdoor Tennis Court,,Outdoor Tennis Court,,RENNIE PARK - Outdoor Tennis Court (  2)
3852,181,Outdoor Tennis Court,,Outdoor Tennis Court,,RENNIE PARK - Outdoor Tennis Court (  3)
3853,181,Outdoor Tennis Court,,Outdoor Tennis Court,,RENNIE PARK - Outdoor Tennis Court (  4)
32542,181,Parking Lot,,Outdoor Parking Lot,,RENNIE PARK - Parking Lot
6173,181,Picnic Shelter,picnic,Shelter,,RENNIE PARK - Picnic Shelter
28337,181,Picnic Site,picnic,Picnic Site,,RENNIE PARK - Picnic Site (  1)
34175,181,Playground,,Playground Site,,RENNIE PARK - Playground
5200,181,Shuffle Board,,Shuffle Board,,RENNIE PARK - Shuffle Board (  1)
5201,181,Shuffle Board,,Shuffle Board,,RENNIE PARK - Shuffle Board (  2)
5202,181,Wading Pool,,Wading Pool,,RENNIE PARK - Wading Pool
2606,183,Drinking Fountain,,Drinking Fountain,,ST. ANDREW'S PLAYGROUND - Drinking Fountain
2845,183,Dogs Off-Leash Area,,Off Leash Area,,ST. ANDREW'S PLAYGROUND - Off Leash Area
33854,183,Playground,,Playground Site,,ST. ANDREW'S PLAYGROUND - Playground
2670,186,Drinking Fountain,,Drinking Fountain,,RITCHIE AVENUE PARKETTE - Drinking Fountain
41905,186,Outdoor Table Tennis,,Outdoor Table Tennis,,RITCHIE AVENUE PARKETTE - Outdoor Table Tennis
33885,186,Playground,,Playground Site,,RITCHIE AVENUE PARKETTE - Playground
34207,187,Playground,,Playground Site,,MOUNT ROYAL PARKETTE - Playground
43728,189,Outdoor Rink,ice,Outdoor Ice Pad,,NORTH TORONTO MEMORIAL - Outdoor Ice Pad (  1)
43584,189,Outdoor Rink,ice,Outdoor Ice Pad,,NORTH TORONTO MEMORIAL - Outdoor Ice Pad (  2)
4516,189,Outdoor Pool,pool,Outdoor Pool Tank,,NORTH TORONTO MEMORIAL - Outdoor Pool Tank
48392,189,Craft Room,room,Room-Craft - C,C,NORTH TORONTO MEMORIAL COMMUNITY CENTRE - Craft Room
48393,189,Dance Studio,,Room - C,C,NORTH TORONTO MEMORIAL COMMUNITY CENTRE - Dance Studio
30473,189,Dressing Room,,Change Room ,,NORTH TORONTO MEMORIAL COMMUNITY CENTRE - Dressing Room - Family
30474,189,Dressing Room,,Change Room ,,NORTH TORONTO MEMORIAL COMMUNITY CENTRE - Dressing Room - Female (  1)
30475,189,Dressing Room,,Change Room ,,NORTH TORONTO MEMORIAL COMMUNITY CENTRE - Dressing Room - Female (  2)
30476,189,Dressing Room,,Change Room ,,NORTH TORONTO MEMORIAL COMMUNITY CENTRE - Dressing Room - Male (  1)
30477,189,Dressing Room,,Change Room ,,NORTH TORONTO MEMORIAL COMMUNITY CENTRE - Dressing Room - Male (  2)
40861,189,Fitness/Weight Room,,Room-Fitness/Weight - C,C,NORTH TORONTO MEMORIAL COMMUNITY CENTRE - Fitness Centre
41444,189,Gymnasium,gym,Gymnasium - A,A,NORTH TORONTO MEMORIAL COMMUNITY CENTRE - Gymnasium
10498,189,Indoor Pool,pool,Indoor Pool Tank - A,A,NORTH TORONTO MEMORIAL COMMUNITY CENTRE - Indoor Pool Tank
48037,189,Lounge,room,Room - B,B,NORTH TORONTO MEMORIAL COMMUNITY CENTRE - Lounge
48038,189,Multipurpose Room,room,Room - A,A,NORTH TORONTO MEMORIAL COMMUNITY CENTRE - Multipurpose Room (  1)
48039,189,Multipurpose Room,room,Room - C,C,NORTH TORONTO MEMORIAL COMMUNITY CENTRE - Multipurpose Room (  2)
29890,189,Kitchen,room,Kitchen - A,A,NORTH TORONTO MEMORIAL COMMUNITY RECREATION CENTRE - Kitchen
2420,190,Drinking Fountain,,Drinking Fountain,,CHELSEA AVENUE PLAYGROUND - Drinking Fountain
29328,190,Fieldhouse,,Fieldhouse,,CHELSEA AVENUE PLAYGROUND - Fieldhouse
34403,190,Playground,,Playground Site,,CHELSEA AVENUE PLAYGROUND - Playground
4700,190,Wading Pool,,Wading Pool,,CHELSEA AVENUE PLAYGROUND - Wading Pool
2601,191,Drinking Fountain,,Drinking Fountain,,ST. JAMESTOWN WEST PARK - Drinking Fountain
33855,191,Playground,,Playground Site,,ST. JAMESTOWN WEST PARK - Playground
2415,192,Drinking Fountain,,Drinking Fountain,,CHORLEY PARK - Drinking Fountain
40269,192,Bike Trail,,Bike Trail,,CHORLEY PARK TRAIL (  1)
40270,192,Bike Trail,,Bike Trail,,CHORLEY PARK TRAIL (  2)
40272,192,Bike Trail,,Bike Trail,,CHORLEY PARK TRAIL (  4)
40273,192,Bike Trail,,Bike Trail,,CHORLEY PARK TRAIL (  5)
2131,193,Drinking Fountain,,Drinking Fountain,,ALEXANDER MUIR MEMORIAL GARDENS - Drinking Fountain
2213,194,Drinking Fountain,,Drinking Fountain,,JOSEPH SHEARD PARKETTE - Drinking Fountain
2598,195,Drinking Fountain,,Drinking Fountain,,ST. MARY STREET PARKETTE - Drinking Fountain
5861,196,Amphitheatre,special,Amphitheatre,,CHRISTIE PITS PARK - Amphitheatre
36305,196,Bake Oven,,Bake Oven,,CHRISTIE PITS PARK - Bake Oven
18137,196,Ball Diamond,sport,Baseball Diamond Field - A,A,CHRISTIE PITS PARK - Baseball Diamond Field (  1)
18138,196,Ball Diamond,sport,Baseball Diamond Field - C,C,CHRISTIE PITS PARK - Baseball Diamond Field (  2)
18139,196,Ball Diamond,sport,Baseball Diamond Field - B,B,CHRISTIE PITS PARK - Baseball Diamond Field (  3)
3429,196,Outdoor Basketball Court,,Basketball Court,,CHRISTIE PITS PARK - Basketball Court
2413,196,Drinking Fountain,,Drinking Fountain,,CHRISTIE PITS PARK - Drinking Fountain (  1)
2414,196,Drinking Fountain,,Drinking Fountain,,CHRISTIE PITS PARK - Drinking Fountain (  2)
29196,196,Firepit,,Firepit,,CHRISTIE PITS PARK - Firepit
43578,196,Outdoor Rink,ice,Outdoor Ice Pad,,CHRISTIE PITS PARK - Outdoor Ice Pad
32244,196,Parking Lot,,Outdoor Parking Lot,,CHRISTIE PITS PARK - Parking Lot
46462,196,Picnic Shelter,picnic,Shelter,,CHRISTIE PITS PARK - Picnic Shelter
28286,196,Picnic Site,picnic,Picnic Site,,CHRISTIE PITS PARK - Picnic Site (  1)
49582,196,Picnic Site,picnic,Picnic Site,,CHRISTIE PITS PARK - Picnic Site (  2)
49583,196,Picnic Site,picnic,Picnic Site,,CHRISTIE PITS PARK - Picnic Site (  3)
49584,196,Picnic Site,picnic,Picnic Site,,CHRISTIE PITS PARK - Picnic Site (  4)
49585,196,Picnic Site,picnic,Picnic Site,,CHRISTIE PITS PARK - Picnic Site (  5)
34407,196,Playground,,Playground Site,,CHRISTIE PITS PARK - Playground
17713,196,Sport Field,sport,Soccer Field - C,C,CHRISTIE PITS PARK - Soccer Field
43676,196,Sportspad Area,,Sportspad Area,,CHRISTIE PITS PARK - Sportspad Area
3430,196,Outdoor Volleyball Court,,Outdoor Volleyball Court,,CHRISTIE PITS PARK - Volleyball Court
4693,196,Wading Pool,,Wading Pool,,CHRISTIE PITS PARK - Wading Pool
28886,196,Changeroom Facility,,Changeroom Building,,CHRISTIE PITS PARK A.I.R. BUILDING
28886,196,Washroom Facility,,Washroom Building,,CHRISTIE PITS PARK A.I.R. BUILDING
30108,196,Dressing Room,,Change Room ,,CHRISTIE PITS PARK A.I.R. BUILDING - Dressing Room - Family
29788,196,Kitchen,room,Kitchen,,CHRISTIE PITS PARK A.I.R. BUILDING - Kitchen
40288,196,Bike Trail,,Bike Trail,,CHRISTIE PITS PARK TRAIL ( 15)
40291,196,Bike Trail,,Bike Trail,,CHRISTIE PITS PARK TRAIL ( 18)
40292,196,Bike Trail,,Bike Trail,,CHRISTIE PITS PARK TRAIL ( 19)
2619,200,Drinking Fountain,,Drinking Fountain,,SIR WINSTON CHURCHILL PARK - Drinking Fountain
40929,200,Multipurpose Field,,Multipurpose Field - B,B,SIR WINSTON CHURCHILL PARK - Multipurpose Field
2847,200,Dogs Off-Leash Area,,Off Leash Area,,SIR WINSTON CHURCHILL PARK - Off Leash Area
57391,200,Pond,,Open Water,,SIR WINSTON CHURCHILL PARK - Open Water
3715,200,Outdoor Tennis Court,,Outdoor Tennis Court,,SIR WINSTON CHURCHILL PARK - Outdoor Tennis Court (  1)
3716,200,Outdoor Tennis Court,,Outdoor Tennis Court,,SIR WINSTON CHURCHILL PARK - Outdoor Tennis Court (  2)
3717,200,Outdoor Tennis Court,,Outdoor Tennis Court,,SIR WINSTON CHURCHILL PARK - Outdoor Tennis Court (  3)
3718,200,Outdoor Tennis Court,,Outdoor Tennis Court,,SIR WINSTON CHURCHILL PARK - Outdoor Tennis Court (  4)
3719,200,Outdoor Tennis Court,,Outdoor Tennis Court,,SIR WINSTON CHURCHILL PARK - Outdoor Tennis Court (  5)
3720,200,Outdoor Tennis Court,,Outdoor Tennis Court,,SIR WINSTON CHURCHILL PARK - Outdoor Tennis Court (  6)
3721,200,Outdoor Tennis Court,,Outdoor Tennis Court,,SIR WINSTON CHURCHILL PARK - Outdoor Tennis Court (  7)
3722,200,Outdoor Tennis Court,,Outdoor Tennis Court,,SIR WINSTON CHURCHILL PARK - Outdoor Tennis Court (  8)
3723,200,Outdoor Tennis Court,,Outdoor Tennis Court,,SIR WINSTON CHURCHILL PARK - Outdoor Tennis Court (  9)
3724,200,Outdoor Tennis Court,,Outdoor Tennis Court,,SIR WINSTON CHURCHILL PARK - Outdoor Tennis Court ( 10)
33839,200,Playground,,Playground Site,,SIR WINSTON CHURCHILL PARK - Playground
29641,200,Washroom Facility,,Washroom Building,,SIR WINSTON CHURCHILL PARK TENNIS CLUBHOUSE
40529,200,Bike Trail,,Bike Trail,,SIR WINSTON CHURCHILL PARK TRAIL (  1)
40530,200,Bike Trail,,Bike Trail,,SIR WINSTON CHURCHILL PARK TRAIL (  2)
40531,200,Bike Trail,,Bike Trail,,SIR WINSTON CHURCHILL PARK TRAIL (  3)
40532,200,Bike Trail,,Bike Trail,,SIR WINSTON CHURCHILL PARK TRAIL (  4)
18126,202,Cricket Pitch Field,sport,Cricket Pitch Field - C,C,ASHTONBEE RESERVOIR PARK - Cricket Pitch Field (  1)
18127,202,Cricket Pitch Field,sport,Cricket Pitch Field - C,C,ASHTONBEE RESERVOIR PARK - Cricket Pitch Field (  2)
2491,202,Drinking Fountain,,Drinking Fountain,,ASHTONBEE RESERVOIR PARK - Drinking Fountain
18128,202,Sport Field,sport,Soccer Field - C,C,ASHTONBEE RESERVOIR PARK - Soccer Field (  1)
18129,202,Sport Field,sport,Soccer Field - C,C,ASHTONBEE RESERVOIR PARK - Soccer Field (  2)
18130,202,Sport Field,sport,Soccer Field - C,C,ASHTONBEE RESERVOIR PARK - Soccer Field (  3)
29276,202,Washroom Facility,,Washroom Building,,ASHTONBEE RESERVOIR PARK - Washroom Building
2410,204,Drinking Fountain,,Drinking Fountain,,CLARENCE SQUARE PARK - Drinking Fountain (  1)
57602,204,Drinking Fountain,,Drinking Fountain,,CLARENCE SQUARE PARK - Drinking Fountain (  2)
24984,204,Dogs Off-Leash Area,,Off Leash Area,,CLARENCE SQUARE PARK - Off Leash Area
2600,205,Drinking Fountain,,Drinking Fountain,,ST. PATRICKS SQUARE - Drinking Fountain
2423,207,Drinking Fountain,,Drinking Fountain,,CHARLOTTE MAHER PARKETTE - Drinking Fountain
34397,207,Playground,,Playground Site,,CHARLOTTE MAHER PARKETTE - Playground
33872,208,Playground,,Playground Site,,SUYDAM PARK - Playground
17062,209,Beach,,Beach,,CHERRY BEACH
2827,209,Dogs Off-Leash Area,,Off Leash Area,,CHERRY BEACH CLARKE BEACH PARK - Off Leash Area
44886,209,Parking Lot,,Outdoor Parking Lot,,CHERRY BEACH CLARKE BEACH PARK - Parking Lot (  1)
44884,209,Parking Lot,,Outdoor Parking Lot,,CHERRY BEACH CLARKE BEACH PARK - Parking Lot (  2)
28284,209,Picnic Site,picnic,Picnic Site,,CHERRY BEACH CLARKE BEACH PARK - Picnic Site
49615,209,Picnic Site,picnic,Picnic Site,,CHERRY BEACH CLARKE BEACH PARK - Picnic Site (  2)
37108,209,Washroom Facility,,Washroom Building,,CHERRY BEACH CLARKE BEACH PARK - Washroom Building
23247,209,Bike Trail,,Bike Trail,,MARTIN GOODMAN TRAIL ( 10)
23258,209,Bike Trail,,Bike Trail,,MARTIN GOODMAN TRAIL ( 11)
23269,209,Bike Trail,,Bike Trail,,MARTIN GOODMAN TRAIL ( 12)
23280,209,Bike Trail,,Bike Trail,,MARTIN GOODMAN TRAIL ( 13)
23291,209,Bike Trail,,Bike Trail,,MARTIN GOODMAN TRAIL ( 14)
23301,209,Bike Trail,,Bike Trail,,MARTIN GOODMAN TRAIL ( 15)
23302,209,Bike Trail,,Bike Trail,,MARTIN GOODMAN TRAIL ( 16)
17913,210,Ball Diamond,sport,Baseball Diamond Field - B,B,ROSEDALE PARK - Baseball Diamond Field
2660,210,Drinking Fountain,,Drinking Fountain,,ROSEDALE PARK - Drinking Fountain
17914,210,Multipurpose Field,,Multipurpose Field - B,B,ROSEDALE PARK - Multipurpose Field
14298,210,Outdoor Dry Pad,ice,Outdoor Dry Pad - A,A,ROSEDALE PARK - Outdoor Artificial Ice Rink
43601,210,Outdoor Rink,ice,Outdoor Ice Pad,,ROSEDALE PARK - Outdoor Ice Pad
49749,210,Outdoor Table Tennis,,Outdoor Table Tennis,,ROSEDALE PARK - Outdoor Table Tennis
3812,210,Outdoor Tennis Court,,Outdoor Tennis Court,,ROSEDALE PARK - Outdoor Tennis Court (  1)
3810,210,Outdoor Tennis Court,,Outdoor Tennis Court,,ROSEDALE PARK - Outdoor Tennis Court (  1)
3811,210,Outdoor Tennis Court,,Outdoor Tennis Court,,ROSEDALE PARK - Outdoor Tennis Court (  2)
3817,210,Outdoor Tennis Court,,Outdoor Tennis Court,,ROSEDALE PARK - Outdoor Tennis Court (  2)
3816,210,Outdoor Tennis Court,,Outdoor Tennis Court,,ROSEDALE PARK - Outdoor Tennis Court (  3)
3813,210,Outdoor Tennis Court,,Outdoor Tennis Court,,ROSEDALE PARK - Outdoor Tennis Court (  4)
3814,210,Outdoor Tennis Court,,Outdoor Tennis Court,,ROSEDALE PARK - Outdoor Tennis Court (  5)
3815,210,Outdoor Tennis Court,,Outdoor Tennis Court,,ROSEDALE PARK - Outdoor Tennis Court (  6)
33893,210,Playground,,Playground Site,,ROSEDALE PARK - Playground
5172,210,Wading Pool,,Wading Pool,,ROSEDALE PARK - Wading Pool
29616,210,Washroom Facility,,Washroom Building,,ROSEDALE PARK TENNIS CLUBHOUSE
2404,211,Drinking Fountain,,Drinking Fountain,,CLOSE AVENUE PARKETTE - Drinking Fountain
34415,211,Playground,,Playground Site,,CLOSE AVENUE PARKETTE - Playground
4674,211,Wading Pool,,Wading Pool,,CLOSE AVENUE PARKETTE - Wading Pool
40936,212,Outdoor Table Tennis,,Outdoor Table Tennis,,STANLEY PARK NORTH - Outdoor Table Tennis
3691,212,Outdoor Basketball Court,,Basketball Court,,STANLEY PARK NORTH - TORONTO - Basketball Court
2590,212,Drinking Fountain,,Drinking Fountain,,STANLEY PARK NORTH - TORONTO - Drinking Fountain
33861,212,Playground,,Playground Site,,STANLEY PARK NORTH - TORONTO - Playground
5062,212,Shuffle Board,,Shuffle Board,,STANLEY PARK NORTH - TORONTO - Shuffle Board
5063,212,Wading Pool,,Wading Pool,,STANLEY PARK NORTH - TORONTO - Wading Pool
17943,214,Ball Diamond,sport,Baseball Diamond Field - C,C,STEPHENSON PARK - Baseball Diamond Field
2588,214,Drinking Fountain,,Drinking Fountain,,STEPHENSON PARK - Drinking Fountain
29646,214,Fieldhouse,,Fieldhouse,,STEPHENSON PARK - Fieldhouse
59922,214,Firepit,,Firepit,,STEPHENSON PARK - Firepit
33864,214,Playground,,Playground Site,,STEPHENSON PARK - Playground
3685,214,Sportspad Area,,Sportspad Area,,STEPHENSON PARK - Sportspad Area
